effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2021-04-01,2021-03-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-07-01,2021-06-30,True,"SMIN,BLOK,PICK,FNDA,PAVE",1.0,0.0005,"{'BLOK': 0.2, 'FNDA': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-10-01,2021-09-30,True,"SMIN,KCE,PICK,FNDA,XLF",0.4,0.0002,"{'FNDA': 0.2, 'KCE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLF': 0.2}"
2022-01-03,2021-12-31,True,"SMIN,VNQ,XLY,KCE,DIV",0.6000000000000001,0.00030000000000000003,"{'DIV': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'VNQ': 0.2, 'XLY': 0.2}"
2022-04-01,2022-03-31,True,"UAE,KSA,MLPA,AMLP,XLP",1.0,0.0005,"{'AMLP': 0.2, 'KSA': 0.2, 'MLPA': 0.2, 'SGOV': 0.0, 'UAE': 0.2, 'XLP': 0.2}"
2022-07-01,2022-06-30,False,SGOV,1.0,0.0005,{'SGOV': 1.0}
2022-10-03,2022-09-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-01-03,2022-12-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-04-03,2023-03-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-07-03,2023-06-30,True,"EWW,FEZ,EWI,XHB,PAVE",1.0,0.0005,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-10-02,2023-09-30,True,"EWI,XHB,EWW,FEZ,PAVE",0.0,0.0,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2024-01-02,2023-12-31,True,"IGV,ARKF,XLK,IXN,QQQM",1.0,0.0005,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'XLK': 0.2}"
2024-04-01,2024-03-31,True,"SMIN,XHB,FDN,XLK,IXN",0.6000000000000001,0.00030000000000000003,"{'FDN': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-07-01,2024-06-30,True,"SMIN,SMH,IXN,KCE,VUG",0.6000000000000001,0.00030000000000000003,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'VUG': 0.2}"
2024-10-01,2024-09-30,True,"IXN,KCE,TMFC,VUG,XLF",0.4,0.0002,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'VUG': 0.2, 'XLF': 0.2}"
2025-01-02,2024-12-31,True,"XLC,TMFC,XLF,VUG,KCE",0.2,0.0001,"{'KCE': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'VUG': 0.2, 'XLC': 0.2, 'XLF': 0.2}"
2025-04-01,2025-03-31,True,"EWS,GLDM,XLC,SLV,GDX",0.8,0.0004,"{'EWS': 0.2, 'GDX': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2, 'XLC': 0.2}"
2025-07-01,2025-06-30,True,"ARKW,EIS,EWS,ARKQ,EWP",0.8,0.0004,"{'ARKQ': 0.2, 'ARKW': 0.2, 'EIS': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'SGOV': 0.0}"
2025-10-01,2025-09-30,True,"ARKW,ARKQ,ARKF,EWP,EWI",0.4,0.0002,"{'ARKF': 0.2, 'ARKQ': 0.2, 'ARKW': 0.2, 'EWI': 0.2, 'EWP': 0.2, 'SGOV': 0.0}"
2026-01-02,2025-12-31,True,"EWP,GLDM,SLV,EWY,AVDV",0.8,0.0004,"{'AVDV': 0.2, 'EWP': 0.2, 'EWY': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2}"
